random_sampler_compression,space_based_compression,voxel_based_compression,percentage_of_minor_classes_retained
0.62,0.425,0.325,0.49
0.39,0.925,0.325,0.48
0.69,0.825,0.725,0.73
0.56,0.825,0.925,0.72
0.75,0.125,0.625,0.59
0.55,0.125,0.825,0.55
0.7,0.425,0.925,0.71
0.79,0.225,0.425,0.57
0.77,0.325,0.825,0.7
0.36,0.625,0.925,0.58
0.65,0.125,0.625,0.54
0.67,0.725,0.425,0.61
0.37,0.425,0.425,0.4
0.71,0.825,0.225,0.59
0.37,0.325,0.725,0.47
0.37,0.525,0.325,0.39
0.32,0.225,0.925,0.48
0.51,0.225,0.225,0.37
0.55,0.925,0.625,0.65
0.55,0.125,0.925,0.58
0.57,0.925,0.625,0.66
0.44,0.125,0.425,0.37
0.65,0.525,0.425,0.56
0.8,0.725,0.725,0.76
0.55,0.325,0.425,0.47
0.33,0.225,0.625,0.4
0.78,0.425,0.625,0.66
0.78,0.225,0.625,0.62
0.4,0.925,0.525,0.54
0.33,0.825,0.625,0.52
0.33,0.825,0.225,0.4
0.8,0.625,0.625,0.71
0.7,0.425,0.725,0.65
0.3,0.425,0.625,0.42
0.47,0.825,0.525,0.56
0.33,0.425,0.325,0.35
0.46,0.125,0.925,0.53
0.67,0.325,0.825,0.65
0.72,0.325,0.325,0.52
0.34,0.525,0.825,0.52
0.73,0.725,0.425,0.64
0.43,0.125,0.325,0.34
0.79,0.725,0.225,0.61
0.54,0.625,0.525,0.55
0.76,0.225,0.325,0.52
0.72,0.425,0.725,0.66
0.65,0.225,0.625,0.56
0.45,0.925,0.725,0.63
0.5,0.725,0.625,0.58
0.72,0.425,0.325,0.54
0.34,0.925,0.825,0.6
0.61,0.825,0.525,0.63
0.3,0.625,0.825,0.52
0.38,0.625,0.625,0.5
0.46,0.625,0.425,0.48
0.56,0.125,0.525,0.46
0.42,0.425,0.125,0.33
0.34,0.125,0.225,0.26
0.47,0.525,0.825,0.59
0.41,0.425,0.125,0.33
0.71,0.725,0.425,0.63
0.64,0.125,0.325,0.44
0.74,0.525,0.225,0.54
0.67,0.425,0.625,0.61
0.65,0.825,0.925,0.77
0.44,0.225,0.425,0.39
0.66,0.825,0.325,0.59
0.65,0.525,0.425,0.56
0.58,0.625,0.725,0.63
0.42,0.225,0.425,0.38
0.34,0.925,0.825,0.6
0.58,0.525,0.925,0.67
0.57,0.225,0.925,0.61
0.39,0.825,0.225,0.43
0.45,0.125,0.225,0.32
0.61,0.925,0.625,0.68
0.45,0.425,0.825,0.56
0.39,0.425,0.825,0.53
0.41,0.325,0.625,0.46
0.68,0.425,0.325,0.52
0.31,0.825,0.125,0.36
0.32,0.125,0.725,0.4
0.78,0.925,0.625,0.76
0.35,0.925,0.225,0.43
0.56,0.725,0.225,0.49
0.56,0.425,0.125,0.4
0.32,0.425,0.425,0.37
0.59,0.425,0.425,0.51
0.47,0.325,0.725,0.52
0.79,0.425,0.325,0.58
0.73,0.925,0.125,0.59
0.6,0.925,0.125,0.52
0.43,0.425,0.225,0.37
0.42,0.525,0.325,0.41
0.61,0.525,0.125,0.45
0.71,0.425,0.325,0.54
0.38,0.425,0.125,0.31
0.47,0.725,0.125,0.42
0.56,0.525,0.625,0.57
0.71,0.625,0.625,0.67
0.59,0.525,0.525,0.56
0.34,0.825,0.125,0.37
0.61,0.225,0.825,0.6
0.39,0.225,0.225,0.31
0.75,0.325,0.825,0.69
0.79,0.225,0.225,0.51
0.42,0.825,0.125,0.41
0.5,0.625,0.525,0.53
0.77,0.325,0.225,0.52
0.39,0.825,0.125,0.4
0.35,0.625,0.725,0.52
0.76,0.525,0.225,0.55
0.32,0.625,0.325,0.38
0.34,0.725,0.125,0.35
0.66,0.625,0.125,0.49
0.4,0.725,0.825,0.59
0.55,0.325,0.225,0.41
0.75,0.625,0.825,0.75
0.63,0.525,0.425,0.55
0.41,0.925,0.325,0.49
0.51,0.225,0.725,0.52
0.45,0.625,0.325,0.45
0.43,0.725,0.125,0.4
0.35,0.925,0.625,0.55
0.54,0.825,0.225,0.5
0.4,0.425,0.725,0.5
0.36,0.525,0.525,0.44
0.36,0.925,0.925,0.64
0.57,0.925,0.525,0.63
0.79,0.525,0.725,0.72
0.73,0.125,0.325,0.49
0.49,0.625,0.725,0.59
0.72,0.625,0.725,0.7
0.75,0.225,0.725,0.64
0.73,0.525,0.125,0.51
0.71,0.625,0.925,0.76
0.37,0.225,0.125,0.27
0.32,0.225,0.925,0.48
0.63,0.325,0.625,0.57
0.55,0.725,0.325,0.52
0.7,0.125,0.125,0.41
0.35,0.525,0.525,0.44
0.36,0.925,0.525,0.52
0.74,0.125,0.825,0.64
0.4,0.525,0.625,0.49
0.31,0.125,0.225,0.25
0.67,0.425,0.825,0.67
0.44,0.625,0.125,0.38
0.35,0.125,0.125,0.24
0.73,0.525,0.225,0.54
0.66,0.225,0.325,0.47
0.3,0.525,0.425,0.38
0.33,0.625,0.625,0.48
0.6,0.125,0.325,0.42
0.79,0.625,0.325,0.62
0.53,0.625,0.225,0.46
0.36,0.925,0.625,0.55
0.33,0.525,0.425,0.4
0.6,0.125,0.125,0.36
0.68,0.525,0.525,0.6
0.63,0.325,0.925,0.66
0.75,0.725,0.725,0.74
0.72,0.225,0.825,0.65
0.35,0.925,0.725,0.58
0.58,0.825,0.825,0.7
0.44,0.125,0.525,0.4
0.4,0.325,0.725,0.48
0.38,0.925,0.225,0.44
0.6,0.925,0.225,0.55
0.45,0.425,0.125,0.35
0.79,0.825,0.525,0.72
0.63,0.525,0.325,0.52
0.75,0.525,0.125,0.52
0.7,0.725,0.825,0.74
0.5,0.125,0.725,0.49
0.62,0.925,0.225,0.56
0.45,0.425,0.225,0.38
0.73,0.125,0.125,0.43
0.65,0.725,0.125,0.51
0.6,0.825,0.225,0.53
0.79,0.725,0.725,0.76
0.41,0.425,0.825,0.54
0.32,0.925,0.325,0.44
0.51,0.925,0.325,0.54
0.57,0.625,0.325,0.51
0.42,0.225,0.225,0.32
0.44,0.125,0.125,0.28
0.41,0.625,0.425,0.46
0.79,0.725,0.525,0.7
0.3,0.625,0.325,0.37
0.56,0.325,0.625,0.53
0.58,0.625,0.925,0.69
0.73,0.325,0.425,0.56
0.39,0.625,0.925,0.6
0.57,0.725,0.925,0.71
0.4,0.725,0.125,0.38
0.46,0.125,0.225,0.32
0.59,0.125,0.225,0.39
0.65,0.725,0.725,0.69
0.78,0.125,0.725,0.63
0.74,0.325,0.325,0.53
0.55,0.925,0.525,0.62
0.37,0.225,0.425,0.36
0.65,0.925,0.325,0.61
0.55,0.725,0.525,0.58
0.6,0.925,0.325,0.58
0.47,0.825,0.225,0.47
0.36,0.125,0.725,0.42
0.69,0.825,0.725,0.73
0.71,0.925,0.825,0.79
0.74,0.525,0.625,0.66
0.6,0.725,0.825,0.69
0.52,0.725,0.425,0.53
0.7,0.325,0.225,0.48
0.34,0.325,0.625,0.42
0.37,0.925,0.325,0.47
0.38,0.125,0.325,0.31
0.46,0.325,0.425,0.42
0.59,0.925,0.425,0.61
0.3,0.725,0.625,0.48
0.3,0.325,0.125,0.25
0.74,0.225,0.425,0.54
0.72,0.525,0.125,0.5
0.7,0.425,0.225,0.5
0.63,0.125,0.425,0.47
0.32,0.425,0.725,0.46
0.31,0.925,0.925,0.62
0.79,0.225,0.525,0.6
0.78,0.225,0.425,0.56
0.33,0.425,0.925,0.53
0.66,0.425,0.325,0.51
0.58,0.325,0.825,0.6
0.34,0.125,0.625,0.38
0.63,0.325,0.625,0.57
0.37,0.125,0.225,0.28
0.68,0.425,0.925,0.7
0.47,0.125,0.425,0.39
0.41,0.625,0.325,0.43
0.78,0.525,0.425,0.62
0.78,0.725,0.325,0.63
0.45,0.425,0.625,0.5
0.44,0.125,0.525,0.4
0.56,0.225,0.925,0.6
0.57,0.225,0.125,0.37
0.8,0.125,0.825,0.67
0.56,0.625,0.625,0.59
0.77,0.225,0.625,0.62
0.52,0.625,0.625,0.57
0.78,0.125,0.425,0.54
0.75,0.125,0.925,0.68
0.8,0.625,0.925,0.8
0.66,0.525,0.125,0.47
0.63,0.425,0.225,0.47
0.38,0.925,0.325,0.47
0.72,0.625,0.625,0.67
0.3,0.225,0.225,0.26
0.32,0.225,0.925,0.48
0.37,0.925,0.725,0.59
0.48,0.225,0.925,0.56
0.32,0.725,0.825,0.55
0.69,0.125,0.825,0.62
0.59,0.625,0.225,0.49
0.63,0.225,0.725,0.58
0.3,0.125,0.625,0.36
0.64,0.125,0.825,0.59
0.63,0.825,0.625,0.67
0.61,0.725,0.625,0.64
0.73,0.625,0.125,0.53
0.48,0.125,0.925,0.54
0.32,0.125,0.725,0.4
0.31,0.825,0.825,0.57
0.79,0.325,0.125,0.5
0.64,0.625,0.825,0.69
0.43,0.425,0.925,0.58
0.6,0.825,0.725,0.68
0.33,0.925,0.325,0.45
0.43,0.925,0.925,0.68
0.32,0.825,0.325,0.42
0.72,0.825,0.525,0.68
0.74,0.325,0.725,0.65
0.71,0.725,0.325,0.6
0.63,0.725,0.425,0.59
0.35,0.325,0.525,0.4
0.37,0.425,0.625,0.46
0.67,0.925,0.725,0.74
0.51,0.525,0.425,0.49
0.61,0.625,0.325,0.53
0.51,0.925,0.525,0.6
0.6,0.425,0.625,0.57
0.64,0.525,0.225,0.49
0.43,0.925,0.125,0.44
0.38,0.325,0.825,0.5
0.63,0.525,0.925,0.7
0.71,0.125,0.625,0.57
0.34,0.925,0.225,0.42
0.34,0.525,0.225,0.34
0.35,0.625,0.525,0.46
0.46,0.525,0.325,0.43
0.37,0.825,0.125,0.39
0.7,0.725,0.825,0.74
0.48,0.825,0.225,0.47
0.38,0.525,0.225,0.36
0.54,0.325,0.125,0.37
0.66,0.825,0.725,0.71
0.76,0.225,0.825,0.67
0.67,0.825,0.725,0.72
0.46,0.525,0.525,0.49
0.69,0.625,0.325,0.57
0.48,0.125,0.125,0.3
0.49,0.925,0.325,0.53
0.78,0.425,0.825,0.72
0.54,0.125,0.625,0.48
0.36,0.525,0.425,0.41
0.73,0.525,0.125,0.51
0.35,0.725,0.425,0.45
0.44,0.825,0.325,0.48
0.51,0.225,0.525,0.46
0.51,0.625,0.725,0.6
0.57,0.525,0.425,0.52
0.71,0.125,0.425,0.51
0.39,0.125,0.425,0.35
0.47,0.525,0.725,0.56
0.71,0.325,0.825,0.67
0.77,0.725,0.125,0.57
0.73,0.925,0.125,0.59
0.39,0.625,0.725,0.54
0.4,0.625,0.125,0.36
0.76,0.625,0.725,0.72
0.65,0.325,0.225,0.46
0.78,0.125,0.625,0.6
0.49,0.225,0.225,0.36
0.55,0.125,0.525,0.46
0.33,0.125,0.125,0.23
0.49,0.825,0.425,0.54
0.77,0.825,0.125,0.59
0.65,0.825,0.225,0.56
0.43,0.625,0.725,0.56
0.62,0.925,0.825,0.74
0.64,0.925,0.725,0.72
0.31,0.925,0.525,0.5
0.43,0.825,0.525,0.54
0.48,0.825,0.725,0.62
0.5,0.425,0.725,0.55
0.48,0.925,0.625,0.61
0.56,0.525,0.225,0.45
0.43,0.625,0.725,0.56
0.31,0.125,0.725,0.4
0.67,0.425,0.925,0.7
0.3,0.925,0.625,0.52
0.42,0.325,0.525,0.43
0.69,0.625,0.425,0.6
0.39,0.125,0.525,0.38
0.37,0.425,0.725,0.49
0.39,0.525,0.725,0.52
0.53,0.725,0.225,0.48
0.52,0.925,0.925,0.72
0.35,0.925,0.425,0.49
0.62,0.625,0.725,0.65
0.68,0.225,0.925,0.66
0.45,0.125,0.425,0.38
0.53,0.425,0.125,0.39
0.64,0.825,0.725,0.7
0.51,0.925,0.225,0.51
0.78,0.225,0.925,0.71
0.77,0.525,0.225,0.56
0.72,0.225,0.525,0.56
0.62,0.525,0.925,0.69
0.58,0.925,0.525,0.63
0.79,0.725,0.125,0.58
0.62,0.925,0.425,0.62
0.48,0.225,0.825,0.53
0.41,0.325,0.725,0.49
0.8,0.425,0.425,0.61
0.64,0.125,0.325,0.44
0.46,0.825,0.525,0.55
0.64,0.925,0.125,0.54
0.62,0.125,0.225,0.4
0.55,0.225,0.125,0.36
0.5,0.925,0.625,0.62
0.56,0.525,0.225,0.45
0.44,0.725,0.425,0.49
0.57,0.925,0.625,0.66
0.37,0.225,0.525,0.39
0.57,0.625,0.225,0.48
0.57,0.625,0.125,0.45
0.42,0.425,0.125,0.33
0.56,0.625,0.525,0.56
0.67,0.725,0.225,0.55
0.66,0.525,0.725,0.65
0.65,0.725,0.925,0.75
0.56,0.125,0.125,0.34
0.53,0.925,0.625,0.64
0.74,0.325,0.525,0.59
0.5,0.325,0.225,0.38
0.79,0.925,0.425,0.71
0.33,0.125,0.325,0.29
0.54,0.625,0.925,0.67
0.79,0.525,0.925,0.78
0.43,0.225,0.125,0.3
0.4,0.125,0.425,0.35
0.74,0.825,0.225,0.6
0.78,0.525,0.525,0.65
0.41,0.325,0.325,0.37
0.74,0.525,0.825,0.72
0.77,0.625,0.625,0.7
0.37,0.425,0.425,0.4
0.55,0.725,0.825,0.67
0.79,0.425,0.925,0.76
0.59,0.225,0.225,0.41
0.79,0.525,0.325,0.6
0.39,0.625,0.125,0.36
0.49,0.125,0.225,0.34
0.43,0.425,0.325,0.4
0.5,0.625,0.125,0.41
0.43,0.825,0.525,0.54
0.73,0.325,0.925,0.71
0.55,0.825,0.925,0.72
0.64,0.325,0.625,0.57
0.69,0.425,0.325,0.53
0.52,0.225,0.725,0.52
0.58,0.725,0.325,0.53
0.58,0.225,0.725,0.55
0.52,0.425,0.925,0.62
0.4,0.925,0.625,0.57
0.73,0.925,0.725,0.77
0.79,0.225,0.125,0.48
0.41,0.725,0.225,0.42
0.44,0.625,0.525,0.5
0.4,0.525,0.725,0.52
0.58,0.525,0.725,0.61
0.48,0.825,0.325,0.5
0.59,0.225,0.625,0.53
0.49,0.825,0.825,0.66
0.37,0.525,0.925,0.57
0.65,0.225,0.925,0.65
0.72,0.425,0.425,0.57
0.34,0.925,0.425,0.48
0.71,0.625,0.225,0.55
0.3,0.825,0.725,0.53
0.39,0.825,0.325,0.46
0.58,0.725,0.525,0.59
0.38,0.525,0.725,0.51
0.54,0.325,0.825,0.58
0.42,0.325,0.125,0.31
0.7,0.425,0.525,0.59
0.62,0.925,0.225,0.56
0.75,0.525,0.925,0.76
0.39,0.325,0.625,0.45
0.39,0.325,0.625,0.45
0.66,0.425,0.125,0.45
0.53,0.425,0.625,0.54
0.72,0.625,0.625,0.67
0.43,0.625,0.325,0.44
0.78,0.325,0.525,0.61
0.53,0.125,0.625,0.48
0.39,0.325,0.325,0.36
0.72,0.225,0.725,0.62
0.36,0.625,0.625,0.49
0.52,0.625,0.925,0.66
0.44,0.225,0.125,0.3
0.3,0.925,0.625,0.52
0.31,0.625,0.625,0.47
0.78,0.425,0.625,0.66
0.58,0.225,0.325,0.43
0.67,0.625,0.925,0.74
0.6,0.925,0.125,0.52
0.38,0.625,0.625,0.5
0.63,0.125,0.625,0.53
0.52,0.125,0.225,0.35
0.52,0.125,0.425,0.41
0.34,0.225,0.825,0.46
0.77,0.325,0.725,0.67
0.8,0.525,0.925,0.78
0.49,0.325,0.725,0.53
0.74,0.125,0.825,0.64
0.41,0.325,0.625,0.46
0.54,0.825,0.625,0.62
0.46,0.825,0.325,0.49
0.63,0.825,0.525,0.64
0.41,0.825,0.925,0.65
0.53,0.725,0.525,0.57
0.36,0.425,0.425,0.39
0.36,0.925,0.725,0.58
0.63,0.325,0.125,0.42
0.38,0.225,0.625,0.42
0.55,0.425,0.925,0.64
0.31,0.625,0.725,0.5
0.6,0.525,0.325,0.5
0.36,0.425,0.125,0.3
0.38,0.425,0.825,0.52
0.57,0.525,0.725,0.61
0.38,0.925,0.125,0.41
0.77,0.225,0.625,0.62
0.44,0.625,0.925,0.62
0.49,0.825,0.725,0.63
0.48,0.625,0.425,0.49
0.72,0.825,0.425,0.65
0.7,0.125,0.925,0.65
0.48,0.125,0.125,0.3
0.4,0.125,0.425,0.35
0.67,0.925,0.625,0.71
0.63,0.425,0.725,0.62
0.6,0.325,0.525,0.52
0.33,0.525,0.225,0.34
0.76,0.625,0.325,0.6
0.36,0.725,0.325,0.42
0.57,0.725,0.825,0.68
0.65,0.425,0.225,0.48
0.49,0.225,0.525,0.45
0.55,0.325,0.925,0.62
0.78,0.225,0.725,0.65
0.36,0.125,0.325,0.3
0.31,0.825,0.125,0.36
0.46,0.325,0.925,0.57
0.69,0.725,0.425,0.62
0.78,0.425,0.925,0.75
0.78,0.725,0.225,0.6
0.35,0.425,0.225,0.33
0.42,0.125,0.425,0.36
0.55,0.525,0.625,0.57
0.5,0.825,0.525,0.57
0.45,0.525,0.525,0.49
0.31,0.825,0.825,0.57
0.79,0.825,0.725,0.78
0.36,0.225,0.625,0.41
0.42,0.225,0.225,0.32
0.68,0.725,0.825,0.73
0.49,0.225,0.525,0.45
0.44,0.625,0.625,0.53
0.57,0.725,0.525,0.59
0.33,0.625,0.225,0.36
0.74,0.325,0.425,0.56
0.67,0.425,0.625,0.61
0.71,0.825,0.825,0.77
0.38,0.225,0.725,0.45
0.52,0.825,0.425,0.55
0.36,0.325,0.425,0.37
0.49,0.225,0.925,0.57
0.43,0.525,0.525,0.48
0.67,0.325,0.125,0.44
0.57,0.825,0.225,0.52
0.57,0.325,0.125,0.39
0.55,0.125,0.325,0.4
0.57,0.625,0.125,0.45
0.69,0.125,0.225,0.44
0.51,0.525,0.525,0.52
0.41,0.625,0.925,0.61
0.46,0.825,0.325,0.49
0.53,0.525,0.125,0.41
0.67,0.225,0.725,0.6
0.71,0.125,0.625,0.57
0.58,0.925,0.525,0.63
0.55,0.725,0.525,0.58
0.41,0.525,0.525,0.47
0.8,0.825,0.325,0.66
0.34,0.825,0.125,0.37
0.65,0.125,0.525,0.51
0.38,0.325,0.525,0.41
0.61,0.325,0.525,0.53
0.34,0.525,0.625,0.46
0.79,0.625,0.125,0.56
0.44,0.925,0.125,0.44
0.43,0.525,0.725,0.54
0.32,0.425,0.725,0.46
0.6,0.625,0.925,0.7
0.38,0.625,0.725,0.53
0.47,0.925,0.125,0.46
0.45,0.125,0.825,0.5
0.78,0.725,0.125,0.57
0.55,0.525,0.225,0.45
0.36,0.325,0.925,0.52
0.34,0.825,0.225,0.4
0.64,0.825,0.425,0.61
0.68,0.525,0.125,0.48
0.59,0.825,0.325,0.56
0.73,0.225,0.225,0.48
0.61,0.125,0.225,0.4
0.36,0.825,0.325,0.44
0.66,0.325,0.325,0.49
0.78,0.225,0.925,0.71
0.69,0.525,0.625,0.64
0.37,0.425,0.425,0.4
0.69,0.325,0.325,0.51
0.61,0.725,0.425,0.58
0.67,0.425,0.725,0.64
0.31,0.325,0.925,0.5
0.49,0.425,0.425,0.46
0.8,0.425,0.425,0.61
0.54,0.625,0.425,0.52
0.41,0.125,0.625,0.42
0.51,0.725,0.225,0.47
0.55,0.925,0.925,0.74
0.51,0.225,0.125,0.34
0.48,0.725,0.425,0.51
0.77,0.525,0.225,0.56
0.54,0.625,0.825,0.64
0.35,0.825,0.925,0.62
0.64,0.525,0.125,0.46
0.49,0.225,0.925,0.57
0.78,0.925,0.325,0.67
0.77,0.625,0.525,0.67
0.48,0.325,0.325,0.4
0.46,0.225,0.125,0.31
0.56,0.425,0.525,0.52
0.33,0.625,0.425,0.42
0.44,0.825,0.525,0.54
0.37,0.525,0.425,0.42
0.56,0.625,0.225,0.47
0.7,0.125,0.125,0.41
0.44,0.425,0.925,0.58
0.69,0.225,0.425,0.52
0.43,0.225,0.625,0.45
0.7,0.225,0.825,0.64
0.73,0.225,0.425,0.54
0.61,0.925,0.225,0.56
0.74,0.625,0.625,0.68
0.49,0.825,0.225,0.48
0.73,0.225,0.425,0.54
0.35,0.425,0.425,0.39
0.56,0.925,0.125,0.5
0.38,0.625,0.925,0.59
0.46,0.425,0.625,0.5
0.54,0.925,0.625,0.64
0.32,0.625,0.125,0.32
0.69,0.625,0.925,0.75
0.33,0.725,0.425,0.44
0.42,0.525,0.925,0.59
0.56,0.525,0.625,0.57
0.46,0.325,0.525,0.45
0.61,0.325,0.525,0.53
0.48,0.325,0.325,0.4
0.42,0.225,0.525,0.41
0.63,0.325,0.125,0.42
0.65,0.525,0.525,0.59
0.49,0.825,0.525,0.57
0.69,0.425,0.725,0.65
0.49,0.325,0.825,0.56
0.36,0.325,0.425,0.37
0.39,0.225,0.725,0.46
0.68,0.625,0.325,0.56
0.79,0.625,0.725,0.74
0.32,0.125,0.725,0.4
